TID,PID,x,y
13,83,705.561,759.23
13,84,713.415,760.539
13,85,726.505,767.084
13,86,738.286,769.702
13,87,746.14,772.321
13,88,755.303,768.393
13,89,769.702,765.775
13,90,780.175,759.23
13,91,788.029,751.376
13,92,797.192,747.449
13,93,810.282,742.213
13,94,818.136,736.977
13,95,828.608,731.741
13,96,843.007,722.578
13,97,852.171,718.651
13,98,861.334,709.488
13,99,869.188,700.325
13,100,884.896,700.325
13,101,894.059,699.016
13,102,905.84,696.397
13,103,918.931,696.397
13,104,932.021,695.088
13,105,942.493,700.325
13,106,955.583,699.016
13,107,971.291,697.706
13,108,983.072,699.016
13,109,996.163,702.943
13,110,1004.017,699.016
13,111,1006.635,691.161
13,112,1007.944,689.852
13,113,1000.09,678.071
13,114,988.308,668.908
13,115,976.527,663.672
13,116,963.437,661.054
13,117,952.965,661.054
13,118,943.802,649.273
13,119,934.639,645.346
13,120,920.24,641.419
13,121,911.076,636.183
13,122,896.677,628.329
13,123,887.514,623.092
13,124,875.733,611.311
13,125,867.879,594.294
13,126,853.48,592.985
13,127,845.626,591.676
13,128,837.771,590.367
13,129,822.063,589.058
13,130,806.355,589.058
13,132,791.956,587.749
14,1,781.484,726.505
14,2,780.175,738.286
14,3,772.321,747.449
14,4,767.084,757.921
14,5,759.23,765.775
14,6,752.685,763.157
14,7,744.831,755.303
14,8,744.831,743.522
14,9,744.831,733.05
14,10,753.994,727.814
14,11,764.466,727.814
14,12,776.248,733.05
14,13,782.793,734.359
14,14,788.029,729.123
14,15,795.883,718.651
14,16,808.973,717.342
14,17,816.827,723.887
14,18,828.608,727.814
14,19,835.153,731.741
14,20,845.626,730.432
14,21,852.171,731.741
14,22,863.952,730.432
14,23,875.733,734.359
14,24,888.823,735.668
14,25,897.986,735.668
14,26,908.458,734.359
14,27,921.549,736.977
14,28,930.712,743.522
14,29,939.875,748.758
14,30,951.656,748.758
14,31,959.51,746.14
14,32,964.746,740.904
14,33,979.145,735.668
14,34,988.308,739.595
14,35,993.545,740.904
14,36,1002.708,743.522
14,37,1011.871,751.376
14,38,1022.343,748.758
14,39,1032.815,747.449
14,40,1038.051,751.376
14,41,1041.978,765.775
14,42,1036.742,780.175
14,43,1032.815,798.501
14,44,1030.197,808.973
14,45,1017.107,819.445
14,46,1011.871,822.063
14,47,1004.017,825.99
14,48,996.163,828.608
14,49,989.617,824.681
14,50,980.454,823.372
14,51,968.673,824.681
14,52,962.128,824.681
14,53,952.965,832.535
14,54,946.42,829.917
14,55,941.184,829.917
14,56,926.785,829.917
14,57,913.694,831.226
14,58,904.531,829.917
14,59,895.368,822.063
14,60,884.896,822.063
14,62,870.497,825.99
15,33,756.612,608.693
15,34,767.084,606.075
15,35,774.939,604.766
15,36,777.557,602.148
15,37,785.411,600.839
15,38,791.956,598.221
15,39,801.119,595.603
15,40,802.428,585.131
15,41,807.664,575.968
15,42,814.209,572.041
15,43,823.372,568.114
15,44,827.299,558.951
15,45,833.844,551.096
15,46,840.389,548.478
15,47,854.789,539.315
15,48,860.025,531.461
15,49,866.57,520.989
15,50,871.806,519.68
15,51,890.132,518.371
15,52,894.059,514.444
15,53,907.149,511.826
15,54,915.003,507.899
15,55,925.476,507.899
15,56,937.257,514.444
15,57,951.656,519.68
15,58,959.51,528.843
15,59,967.364,530.152
15,60,979.145,532.77
15,61,990.926,531.461
15,62,1000.09,534.079
15,63,1010.562,536.697
15,64,1019.725,538.006
15,65,1028.888,541.933
15,66,1041.978,545.86
15,67,1047.214,547.169
15,68,1064.231,551.096
15,69,1074.704,552.406
15,70,1081.249,556.333
15,71,1091.721,561.569
15,72,1099.575,568.114
15,73,1106.12,573.35
15,74,1108.738,578.586
15,75,1108.738,583.822
15,76,1110.047,596.912
15,77,1112.665,611.311
15,78,1115.283,621.783
15,79,1113.974,629.638
15,80,1113.974,641.419
15,81,1108.738,654.509
15,82,1108.738,663.672
15,83,1104.811,672.835
15,84,1102.193,684.616
15,85,1103.502,699.016
15,86,1104.811,704.252
15,87,1102.193,714.724
15,88,1098.266,725.196
15,89,1094.339,739.595
15,90,1091.721,748.758
15,91,1083.867,757.921
15,92,1076.013,763.157
15,98,1073.395,773.63
16,1,726.505,733.05
16,2,736.977,729.123
16,3,742.213,723.887
16,4,751.376,718.651
16,5,756.612,709.488
16,6,759.23,704.252
16,7,767.084,700.325
16,8,772.321,697.706
16,9,778.866,691.161
16,10,782.793,687.234
16,11,786.72,678.071
16,12,790.647,674.144
16,13,797.192,664.981
16,14,799.81,659.745
16,15,803.737,654.509
16,16,816.827,650.582
16,17,828.608,654.509
16,18,841.698,650.582
16,19,848.244,650.582
16,20,854.789,650.582
16,21,866.57,649.273
16,22,882.278,653.2
16,23,891.441,650.582
16,24,897.986,654.509
16,25,912.385,650.582
16,26,925.476,657.127
16,27,941.184,661.054
16,28,951.656,661.054
16,29,956.892,661.054
16,30,972.6,659.745
16,31,981.763,664.981
16,32,996.163,658.436
16,33,1007.944,663.672
16,34,1019.725,666.29
16,35,1027.579,667.599
16,36,1038.051,667.599
16,37,1055.068,667.599
16,38,1065.54,667.599
16,39,1077.322,666.29
16,40,1082.558,667.599
16,41,1077.322,666.29
16,42,1068.159,668.908
16,43,1065.54,672.835
16,44,1057.686,670.217
16,45,1055.068,676.762
16,46,1044.596,685.925
16,47,1034.124,688.543
16,48,1027.579,689.852
16,49,1018.416,693.779
16,50,1005.326,696.397
16,51,996.163,699.016
16,52,985.69,700.325
16,53,973.909,695.088
16,54,958.201,699.016
16,55,943.802,697.706
16,56,937.257,699.016
16,57,928.094,701.634
16,58,917.621,701.634
16,59,904.531,699.016
16,60,890.132,696.397
16,66,873.115,692.47
17,1,877.042,294.529
17,2,870.497,298.456
17,3,862.643,301.074
17,4,858.716,310.237
17,5,854.789,315.473
17,6,846.935,318.091
17,7,841.698,323.327
17,8,837.771,331.182
17,9,829.917,333.8
17,10,819.445,336.418
17,11,811.591,336.418
17,12,803.737,341.654
17,13,798.501,345.581
17,14,793.265,352.126
17,15,790.647,357.362
17,16,793.265,363.907
17,17,802.428,367.834
17,18,811.591,366.525
17,19,819.445,366.525
17,20,825.99,367.834
17,21,839.08,365.216
17,22,848.244,362.598
17,23,856.098,367.834
17,24,866.57,369.143
17,25,879.66,363.907
17,26,890.132,365.216
17,27,899.295,363.907
17,28,908.458,365.216
17,29,920.24,365.216
17,30,929.403,365.216
17,31,935.948,363.907
17,32,942.493,363.907
17,33,952.965,358.671
17,34,958.201,358.671
17,35,966.055,361.289
17,36,969.982,367.834
